გამოსხივება	გამო სხივ ებ ა
ვერე	ვე რე
მამათაგან	მამა თ აგან
გენომი	გე ნომი
ბარონმა	ბარონ მა
დასაბუთების	და საბუთ ების
ირგვლივი	ი რგვლივ ი
მოწყენილი	მო წყენი ლ ი
სარგის	ს არგ ის
მწვერვალს	მწვერვალ ს
მოვლენის	მოვლენ ის
სექსუალური	სექსუა ლური
იყოფენ	იყო ფენ
ზურგიანი	ზურგ იანი
სისქეში	სისქ ეში
ივერიელის	ივერი ელის
მითრიდატე	მითრიდატ ე
ანგარიშში	ანგარიშ ში
ფარდობითობის	ფარდ ობით ობის
მესამედში	მესამე დ ში
ნგრევის	ნგრევ ის
აღმოაჩენენ	აღმო ა ჩენ ენ
სპილოების	სპილო ების
კონკრეტული	კონ კრეტ ული
ენდრიუ	ენდ რიუ
ციციშვილის	ციცი შვილი ს
აკადემიკოსის	აკადემი კო ს ის
მოქალაქეებმა	მო ქალაქ ე ებმა
უეჭველია	უეჭველ ია
კევინი	კევინ ი
დავარდა	და ვარდა
კოლონიად	კოლონი ად
ცხრილს	ცხრილ ს
ასასვლელად	ა სა სვლელ ად
დაყოფილ	და ყოფილ
დალის	და ლ ის
გადაწყვეტის	გადა წყვეტი ს
თესლს	თესლ ს
მამოძრავებელ	მა მო ძრავ ებელ
კოტორის	კო ტორი ს
მოიხსენიება	მო ი ხსენი ება
