იტალიასთან	იტალ ი ასთან
ფილმშიც	ფილ მ შიც
გამეფებისთანავე	გა მეფ ებისთანავე
სილუეტი	სილუ ეტ ი
ჰიტლერს	ჰიტლერ ს
წარმონაქმნები	წარმონა ქმნ ები
ჩაიყვანეს	ჩა იყვან ეს
წარმართები	წარ მართ ები
ატომთან	ა ტომ თან
დაახასიათა	დაა ხასიათ ა
სულთნის	სულთნ ის
ასგარდების	ას გარდ ების
ინდოეთს	ინდო ეთ ს
მოკიდებული	მო კიდებ ული
შუქურის	შუ ქ ურის
მოგზაურობაში	მო გზაურობ აში
ტვინს	ტ ვინ ს
დამპყრობლის	დამ პყრობ ლის
წყვილად	წყვილ ად
გადაღებულია	გადა ღებ ულია
დაძაბვა	და ძაბ ვა
კალაპოტიდან	კა ლაპოტ იდან
ხელოვნებათმცოდნე	ხელ ოვნებ ათმცოდნე
ტერორისტი	ტერორ ისტ ი
ნახევარკუნძულზე	ნახევარ კუნძულ ზე
შესწორებული	შე სწორებ ული
დიზრაელის	დიზრაელი ს
რომლისაგანაც	რო მლ ისაგანაც
კრაისლერ	კრა ისლ ერ
თან	თან
მშვიდი	მ შვიდ ი
ხმლების	ხმ ლ ების
პარაზიტობენ	პარა ზიტ ობენ
ნემსი	ნე მს ი
პუბლიკის	პუბლი კ ის
გლეხის	გლეხ ის
რესტორანში	რესტორ ან ში
აზრზე	აზრ ზე
გაუმჯობესებაში	გა უმჯობეს ებაში
ორსულობის	ორ სულ ობის
გაბუნიას	გა ბუნია ს
